Service,Anime,URL,MAL ID (or n/a)
"AmazonPrime","Ali the Fox","https://www.amazon.com/Mom/dp/B07BMKYP21",n/a
"AmazonPrime","Altair: A Record of Battles","https://www.amazon.com/The-Sinking-City/dp/B073R6HDDW",34547
"AmazonPrime","Anonymous Noise - Season 1","https://www.amazon.com/keep-Walking-Forward-Today-Tomorrow/dp/B06Y5SCYK4",33203
"AmazonPrime","Arcadia of My Youth","https://www.amazon.com/Arcadia-My-Youth-Tomoharu-Katsumata/dp/B07DP8X7CK",2202
"AmazonPrime","Armed Girl's Machiavellism - Season 1","https://www.amazon.com/The-Magnificent-Blade-Rin-Onigawara/dp/B06Y1PY91G",33475
"AmazonPrime","Astro Boy","https://www.amazon.com/Astros-First-Love/dp/B07F172Q2P",3044
"AmazonPrime","Atom: the Beginning - Season 1","https://www.amazon.com/Bewusstsein/dp/B071R14H8R",33371
"AmazonPrime","Bakemonogatari - Season 1 (English Subtitled)","https://www.amazon.com/TSUBASA-Cat-Part-5/dp/B06XP2NDJL",5081
"AmazonPrime","Battle Disc","https://www.amazon.com/Reunion-of-Rockson-Brothers/dp/B01M66U7ZS",n/a
"AmazonPrime","Beware Of Rocket:The Scar","https://www.amazon.com/Beware-Rocket-Scar-King-Jeff/dp/B078MRNWYX",n/a
"AmazonPrime","Black Jack","https://www.amazon.com/Yamanote-Tetsu/dp/B07G3HMN8D",2213
"AmazonPrime","Black Jack: The Movie","https://www.amazon.com/Black-Jack-Movie-Barry-Stigler/dp/B07DWL91JQ",1521
"AmazonPrime","Blood-C: The Last Mind","https://www.amazon.com/Blood-C-Last-Mind-Part-2/dp/B074CK6S7P",n/a
"AmazonPrime","Blue Exorcist (English Dubbed)","https://www.amazon.com/Mask/dp/B072W8VPBZ",9919
"AmazonPrime","Blue Exorcist- Kyoto Saga","https://www.amazon.com/Through-Thick-and-Thin/dp/B01N3384UP",33506
"AmazonPrime","Blue Exorcist Season 1","https://www.amazon.com/Demon-of-the-Deep-Seas/dp/B01N5NQKOR",9919
"AmazonPrime","Boys Of Valor Series","https://www.amazon.com/Volume-1/dp/B0756QRSYV",n/a
"AmazonPrime","Bruce Lee and Chinese Gods","https://www.amazon.com/Bruce-Chinese-Gods-Chih-Chang/dp/B01H47XIDC",n/a
"AmazonPrime","Bully","https://www.amazon.com/In-With-The-Out-Crowd/dp/B07978GBHY",n/a
"AmazonPrime","Cardcaptor Sakura","https://www.amazon.com/Cardcaptor-Sakura-Tange/dp/B07DNHH3PL",371
"AmazonPrime","Cardfight!! Vanguard","https://www.amazon.com/Turbulence-Q4-VS-NwO/dp/B07GY1L1LC",37476
"AmazonPrime","Clip: Al ameen - From the life of Prophet Muhammad","https://www.amazon.com/Clip-ameen-life-Prophet-Muhammad/dp/B075SHT4LX",n/a
"AmazonPrime","Clip: Al Sadiq - From the life of Prophet Muhammad","https://www.amazon.com/Clip-Sadiq-life-Prophet-Muhammad/dp/B075YC6NSQ",n/a
"AmazonPrime","Clip: Birth of Prophet Muhammad - From the life of Prophet Muhammad","https://www.amazon.com/Clip-Birth-Prophet-Muhammad-life/dp/B07659FTDD",n/a
"AmazonPrime","Clip: Guardians of Arazu:The Animated Series","https://www.amazon.com/Clip-Guardians-Animated-Joy-Eze/dp/B06Y1DSM61",n/a
"AmazonPrime","Clip: Prophet and the Blind Man - From the life of Prophet Muhammad","https://www.amazon.com/Clip-Prophet-Blind-life-Muhammad/dp/B0765CWRLN",n/a
"AmazonPrime","Clip: Prophet Becomes a Merchant - From the life of Prophet Muhammad","https://www.amazon.com/Clip-Prophet-Becomes-Merchant-Muhammad/dp/B075YCT7LC",n/a
"AmazonPrime","Clip: Splitting of chest - From the life of Prophet Muhammad","https://www.amazon.com/Clip-Splitting-chest-Prophet-Muhammad/dp/B075RNKG8W",n/a
"AmazonPrime","Clip: The Enlightenment - From the life of Prophet Muhammad","https://www.amazon.com/Clip-Enlightenment-life-Prophet-Muhammad/dp/B07629J2TV",n/a
"AmazonPrime","Clip: The Old Woman and The Prophet - From the life of Prophet Muhammad","https://www.amazon.com/Clip-Woman-Prophet-life-Muhammad/dp/B0765CQRPT",n/a
